Image_No,Item_description_english,Item_description_german,"food_num","processing_num","taste_num","category_num",protein_100g,fat_100g,carbs_100g,kcal_100g,no_items_image,gramms_total,protein_total,fat_total,carbs_total,Kcal_total,red,green,blue,object size,intensity,sd,complexity,norm. Complexity,medianpower,Recognizability,Familiarity,Valence,Arousal,Complexity,Palatability,Craving,Recognizability_Omnivor_Male,Recognizability_Omnivor_Female,Recognizability_Vegetarian_Male,Recognizability_Vegetarian_Female,Familiarity_Omnivor_Male,Familiarity_Omnivor_Female,Familiarity_Vegetarian_Male,Familiarity_Vegetarian_Female,Valence_Omnivor_Male,Valence_Omnivor_Female,Valence_Vegetarian_Male,Valence_Vegetarian_Female,Arousal_Omnivor_Male,Arousal_Omnivor_Female,Arousal_Vegetarian_Male,Arousal_Vegetarian_Female,Complexity_Omnivor_Male,Complexity_Omnivor_Female,Complexity_Vegetarian_Male,Complexity_Vegetarian_Female,Palatability_Omnivor_Male,Palatability_Omnivor_Female,Palatability_Vegetarian_Male,Palatability_Vegetarian_Female,Craving_Omnivor_Male,Craving_Omnivor_Female,Craving_Vegetarian_Male,Craving_Vegetarian_Female,,,
1,cheesecake with cherry topping,Käsekuchen mit Kirschen,1,2,1,,6,17.14,32.89,311,1,150,9,25.71,49.335,466.5,0.422641107,0.293784112,0.283574781,0.46547037,42.74005185,73.17858887,0.080074074,0.172028295,14.87914753,98.0,97.4,58.1,42.5,35.7,67.2,39.6,96.7,97.6,100.0,100.0,94.2,97.6,100.0,100.0,72.3,58.1,61.8,38.8,52.2,43.2,52.5,24.6,34.7,33.4,41.2,40.9,73.9,67.7,78.5,53.3,47.3,44.2,29.5,21.5,,,
2,Hamburger with bacon,Hamburger,1,2,2,,15,15,14,252,1,360,54,54,50.4,907.2,0.500267463,0.360083625,0.139648912,0.369807407,43.7508037,56.81700134,0.094351852,0.255137809,15.34527493,99.7,99.7,45.8,32.5,44.3,52.7,36.8,100.0,99.2,100.0,100.0,99.0,100.0,100.0,100.0,54.0,50.7,16.8,23.9,43.1,32.8,7.5,16.2,46.3,44.0,28.3,45.5,66.2,57.2,15.8,22.7,53.5,38.2,6.5,5.9,,,
3,"cheese burger, french fries and cola","Hamburger , Pommes, Cola",1,2,2,,5.34,9,20.3,185,3,720,38.448,64.8,146.16,1332,0.532752452,0.321265939,0.145981609,0.302577778,39.06631111,62.30160522,0.098407407,0.325230121,15.60341454,100.0,100.0,43.8,39.8,46.1,55.3,41.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.5,51.6,29.3,18.5,43.4,43.5,32.0,25.9,37.4,50.5,50.7,49.5,66.9,60.8,48.7,23.4,53.6,44.8,29.0,12.0,,,
4,chocolate cookie,Choclate Cookie,1,2,1,3,6.2,26,63,510,1,19,1.178,4.94,11.97,96.9,0.454993942,0.340522867,0.20448319,0.195748148,19.11392963,55.15677261,0.060037037,0.306705517,15.27216911,99.6,99.6,57.8,40.2,33.9,63.9,44.5,98.7,100.0,100.0,100.0,98.7,100.0,100.0,100.0,58.5,58.8,50.3,58.0,40.0,45.5,22.8,35.4,31.0,36.0,34.5,33.5,64.3,66.7,51.5,62.5,45.7,48.8,26.3,40.8,,,
5,cookie mix,Kekse (diverse),1,2,1,,7.78,25.64,56.81,489,3,18,1.4004,4.6152,10.2258,88.02,0.471775836,0.34396349,0.184260674,0.319888889,31.92634815,56.87559128,0.102537037,0.320539539,15.75182915,92.9,93.6,53.1,35.9,37.5,60.3,40.5,88.2,97.1,100.0,90.9,92.2,94.9,100.0,91.7,52.3,55.9,53.8,49.6,35.1,40.6,41.0,28.4,34.6,43.0,40.5,32.3,60.4,62.4,59.5,57.3,45.9,40.6,47.3,30.5,,,
6,cheese cake with strawberries and crumbles,"Käsekuchen mit Erdbeeren, Streuseln",1,2,1,,9.03,12.67,28.03,264,1,150,13.545,19.005,42.045,396,0.408145428,0.322013836,0.269840736,0.276551852,18.98375926,52.70384598,0.071814815,0.259679385,15.44461441,96.5,95.2,56.0,40.4,41.4,65.4,42.3,100.0,97.7,100.0,90.0,93.3,98.8,100.0,90.0,51.3,58.4,46.5,59.0,39.9,45.0,16.5,37.6,38.2,45.2,48.0,36.9,64.4,65.0,76.0,65.1,42.5,40.8,30.0,47.3,,,
7,croissants,Croissants,1,2,2,,7.08,33.57,44.86,508,5,300,21.24,100.71,134.58,1524,0.503524707,0.318562688,0.177912605,0.354381481,39.4926963,54.9144516,0.158240741,0.446526551,15.8319006,99.8,99.5,58.4,36.0,34.4,61.6,37.7,100.0,99.6,100.0,100.0,98.2,100.0,100.0,100.0,58.9,61.3,37.3,58.7,34.0,42.4,14.3,33.0,29.3,40.4,20.3,33.4,63.2,66.8,29.6,60.3,46.4,47.1,7.8,20.2,,,
8,snack mix,Snackmix,1,2,2,,9,0.5,75.3,347,40,20,1.8,0.1,15.06,69.4,0.484480045,0.328569456,0.186950499,0.289525926,34.60385926,61.84777832,0.115574074,0.399183851,15.58450794,93.4,99.6,54.4,33.2,47.6,56.8,33.2,98.1,93.1,80.0,96.3,98.1,100.0,100.0,100.0,55.5,51.4,70.6,51.0,29.7,30.4,50.0,33.0,38.5,48.4,52.0,51.9,63.0,52.4,62.9,56.4,36.5,27.2,50.9,32.1,,,
9,waffles,Waffeln,1,2,1,,9.09,24,57,470,1,42,3.8178,10.08,23.94,197.4,0.509225835,0.324864609,0.165909556,0.283711111,35.48923333,48.16019058,0.103648148,0.365329887,16.75914001,99.6,100.0,63.5,44.9,32.9,72.1,49.9,100.0,99.6,100.0,98.8,100.0,100.0,100.0,100.0,63.0,66.5,60.0,57.7,47.0,47.1,43.0,37.1,22.4,40.8,26.0,31.9,72.5,75.7,60.0,64.8,57.3,51.5,40.0,36.8,,,
10,Spaghetti with tomato sauce,Spaghetti mit Tomatensauce,1,2,2,,3.34,6.73,16.05,139,1,250,8.35,16.825,40.125,347.5,0.425653664,0.339534624,0.234811712,0.357992593,26.80820741,63.56137466,0.0975,0.272352004,15.4259491,99.7,99.7,65.6,39.4,36.5,71.5,44.7,98.9,100.0,100.0,100.0,98.9,100.0,100.0,100.0,67.0,66.2,54.8,65.9,46.3,41.4,20.7,33.2,33.0,41.2,34.7,31.9,73.1,74.7,57.0,67.2,57.6,47.1,14.0,34.2,,,
